# particle, pdgcode, charge
#
#LEPTONS
e− 11 -1
νe 12 0
µ− 13 -1
νµ 14 0
τ− 15 -1
ντ 16 0
#
#GAUGE AND HIGGS BOSONS
g 21 0
γ 22 0
Z0 23 0
W+ 24 1
h0/H01 25 0
#
#LIGHT I = 1 MESONS
π0 111 0
π+ 211 1
a0(980)0 9000111 0
a0(980)+ 9000211 1
π(1300)0 100111 0
π(1300)+ 100211 1
a0(1450)0 10111 0
a0(1450)+ 10211 1
π(1800)0 9010111 0
π(1800)+ 9010211 1
ρ(770)0 113 0
ρ(770)+ 213 1
b1(1235)0 10113 0
b1(1235)+ 10213 1
a1(1260)0 20113 0
a1(1260)+ 20213 1
π1(1400)0 9000113 0
π1(1400)+ 9000213 1
ρ(1450)0 100113 0
ρ(1450)+ 100213 1
π1(1600)0 9010113 0
π1(1600)+ 9010213 1
a1(1640)0 9020113 0
a1(1640)+ 9020213 1
ρ(1700)0 30113 0
ρ(1700)+ 30213 1
ρ(1900)0 9030113 0
ρ(1900)+ 9030213 1
ρ(2150)0 9040113 0
ρ(2150)+ 9040213 1
a2(1320)0 115 0
a2(1320)+ 215 1
π2(1670)0 10115 0
π2(1670)+ 10215 1
a2(1700)0 9000115 0
a2(1700)+ 9000215 1
π2(2100)0 9010115 0
π2(2100)+ 9010215 1
ρ3(1690)0 117 0
ρ3(1690)+ 217 1
ρ3(1990)0 9000117 0
ρ3(1990)+ 9000217 1
ρ3(2250)0 9010117 0
ρ3(2250)+ 9010217 1
a4(2040)0 119 0
a4(2040)+ 219 1
#
#LIGHT I = 0 MESONS
#(uu, dd, and ss Admixtures)
η 221 0
η(958) 331 0
f0(600) 9000221 0
f0(980) 9010221 0
η(1295) 100221 0
f0(1370) 10221 0
η(1405) 9020221 0
η(1475) 100331 0
f0(1500) 9030221 0
f0(1710) 10331 0
η(1760) 9040221 0
f0(2020) 9050221 0
f0(2100) 9060221 0
f0(2200) 9070221 0
η(2225) 9080221 0
ω(782) 223 0
